What are they?	牠們是什麼(動物)?
cat	貓
dog	狗
rabbit	兔子
snake	蛇
are	是. are 是 be 這一個動詞的多數型.
they	他們
Really?	真的嗎?
shh	噓!.. 小聲點!
Be quiet	安靜一點!
唸出: ox	
唸出: box	
唸出: pot	
唸出: fox	
唸出: hop	
see	看見
I'm sorry.	對不起
What is it?	它是什麼?
It's a snake.	那是一條蛇
A snake?	一條蛇?
What are they?	他們是什麼?
They're dogs.	牠們是狗
Really?	真的嗎?
Shh. Be quiet.	噓! 請安靜
snake 的複數	snakes
rabbit 的複數	rabbits
dog 的複數	dogs
cat 的複數	cats
Be quiet, please.	請安靜
It's raining cats and dogs.	正下著傾盆大雨
請安靜	Be quiet, please.
正下著傾盆大雨	It's raining cats and dogs.
看見	see
對不起	I'm sorry.
它是什麼?	What is it?
那是一條蛇	It's a snake.
一條蛇?	A snake?
他們是什麼?	What are they?
牠們是狗	They're dogs.
真的嗎?	Really?
噓! 請安靜	Shh. Be quiet.
牠們是什麼(動物)?	What are they?
貓	cat
狗	dog
兔子	rabbit
蛇	snake
他們	they
真的嗎?	Really?
噓!.. 小聲點!	Shh.
安靜一點!	Be quiet.
