What do you like?	你喜歡什麼？
apple	蘋果
banana	香蕉
grape	葡萄
guava	芭樂
lemon	檸檬
orange	橘子
do	做
like	喜歡
fruit	水果
stand	攤子
for 	為，為了；代替；代表，因為，由於
sweet	甜
a box of	一盒
Here you are.	這個給你。
have	有
sour	酸
buy	購買
together	一起
right now	馬上
best	最好
說出：cap	帽子
說出：man	人
說出：tap	水龍頭
說出：can	罐子
說出：hat	帽子
說出：cape	斗篷
說出：mane	鬃毛
說出：tape	膠帶
說出：cane	枴杖
說出：hate	討厭
Please help your self.	請自便。
An apple a day keeps the doctor away.	一天一蘋果，醫生遠離我。
What is it?	它是什麼？
It's a banana.	這是一根香蕉。
It's an apple.	這是一個蘋果。
Candy and her dad are at the fruit stand.	Candy和她的父親在水果攤。
What do you like?	你想要什麼？
I like guavas.	我想要芭樂。
How much are they?	這樣要多少錢？
Twenty dollars for one guava.	一個芭樂二十美元。
Fifty dollars for three guavas.	三個芭樂五十美元。
I want three guavas, please.	我想要三個芭樂。
The grapes are sweet. Do you want some, too?	葡萄很甜。你也想要一些嗎？
Do you like grapes? Yes, I do.	你喜歡葡萄嗎？是的，我喜歡。
We want a box of grapes, please.	我們想要一盒葡萄，麻煩您。
Mom, we're home.	媽媽，我們回到家了。
Let's have some oranges.	我們來吃些橘子吧。
The oranges are sour.	橘子很酸。
They're not oranges. They are lemons.	他們不是橘子。他們是檸檬。
I don't like bananas.  = I  ___  ____ like bananas.	I do not like bananas.
I like guavas and oranges.	我喜歡番石榴和橘子。
說出：A can is on a cane.	一個罐頭在一根拐杖上面。
說出：The man hates the hat.	這個人討厭這頂帽子。
說出：A cat is in a lion's mane.	一隻貓穿著獅子的鬃毛。
說出：A man is in a black cape.	一人穿著黑斗篷。
說出：The cat in a lion's mane is mad.	穿著獅子鬃毛的貓生氣了。
說出：The man is a black cape is sad.	這個穿黑斗篷的人很傷心。
pear	梨子
pineapple	鳳梨
papaya	木瓜
watermelon	西瓜
mango	芒果
peach	桃子
proverb	諺語 / 俗語
